1,Denmark,Aarhus,F-35,1,56.369814,10.312042,100,100.50.40;2,Denmark,Aarhus,tornado,1,56.284642,10.314876,100,100.150.140
1,Denmark,Aarhus,F-35,1,56.372476,10.331955,100,100.50.40;2,Denmark,Aarhus,tornado,1,56.372476,10.331955,100,100.150.140
1,Denmark,Aarhus,F-35,1,56.373236,10.361481,100,100.150.40;2,Denmark,Aarhus,tornado,1,56.383236,10.341481,100,100.150.140
1,Denmark,Aarhus,F-35,1,56.373236,10.391006,100,100.150.40;2,Denmark,Aarhus,tornado,1,56.383236,10.341481,100,100.150.140
1,Denmark,Aarhus,F-35,1,56.370955,10.418472,100,100.150.40;2,Denmark,Aarhus,tornado,1,56.383236,10.341481,100,100.150.140
1,Denmark,Aarhus,F-35,1,56.363348,10.442505,100,100.150.40;2,Denmark,Aarhus,tornado,1,56.383236,10.341481,100,100.150.140
1,Denmark,Aarhus,F-35,1,56.350414,10.465851,105,100.50.40;2,Denmark,Aarhus,tornado,1,56.383236,10.341481,100,100.150.140
1,Denmark,Aarhus,F-35,1,56.335953,10.48233,110,100.50.40;2,Denmark,Aarhus,tornado,1,56.383236,10.341481,100,100.150.140
1,Denmark,Aarhus,F-35,1,56.319202,10.49881,100,100.50.140;2,Denmark,Aarhus,tornado,1,56.383236,10.341481,100,100.150.140
1,Denmark,Aarhus,F-35,1,56.297872,10.502243,100,100.50.140;2,Denmark,Aarhus,tornado,1,56.383236,10.341481,100,100.150.140
1,Denmark,Aarhus,F-35,1,56.278436,10.498123,100,100.50.140;2,Denmark,Aarhus,tornado,1,56.383236,10.341481,100,100.150.140
1,Denmark,Aarhus,F-35,1,56.259753,10.474777,100,100.50.140;2,Denmark,Aarhus,tornado,1,56.383236,10.341481,100,100.150.140
1,Denmark,Aarhus,F-35,1,56.240297,10.430145,100,100.50.40;2,Denmark,Aarhus,tornado,1,56.383236,10.341481,100,100.150.140
1,Denmark,Aarhus,F-35,1,56.21816,10.371094,100,100.50.40;2,Denmark,Aarhus,tornado,1,56.383236,10.341481,100,100.150.140
1,Denmark,Aarhus,F-35,1,56.192953,10.314102,110,100.50.40;2,Denmark,Aarhus,tornado,1,56.383236,10.341481,100,100.150.140
1,Denmark,Aarhus,F-35,1,56.163524,10.282516,100,100.50.40;2,Denmark,Aarhus,tornado,1,56.383236,10.341481,100,100.150.140
1,Denmark,Aarhus,F-35,1,56.13369,10.307236,100,100.50.40;2,Denmark,Aarhus,tornado,1,56.383236,10.341481,100,100.150.140
1,Denmark,Aarhus,F-35,1,56.110724,10.38414,100,100.50.140;2,Denmark,Aarhus,tornado,1,56.383236,10.341481,100,100.150.140
1,Denmark,Aarhus,F-35,1,56.097322,10.453491,105,100.50.140;2,Denmark,Aarhus,tornado,1,56.383236,10.341481,100,100.150.140
1,Denmark,Aarhus,F-35,1,56.087746,10.532455,110,100.50.140;2,Denmark,Aarhus,tornado,1,56.383236,10.341481,100,100.150.140
1,Denmark,Aarhus,F-35,1,56.077017,10.606613,100,100.50.40;2,Denmark,Aarhus,tornado,1,56.383236,10.341481,100,100.150.140
1,Denmark,Aarhus,F-35,1,56.059386,10.679398,100,100.250.40;2,Denmark,Aarhus,tornado,1,56.383236,10.341481,100,100.150.140
1,Denmark,Aarhus,F-35,1,56.031773,10.741196,100,100.250.40;2,Denmark,Aarhus,tornado,1,56.383236,10.341481,100,100.150.140
1,Denmark,Aarhus,F-35,1,55.992237,10.775528,105,100.250.40;2,Denmark,Aarhus,tornado,1,56.383236,10.341481,100,100.150.140
1,Denmark,Aarhus,F-35,1,55.948046,10.773468,110,100.250.40;2,Denmark,Aarhus,tornado,1,56.383236,10.341481,100,100.150.140
1,Denmark,Aarhus,F-35,1,55.903421,10.749435,100,100.250.40;2,Denmark,Aarhus,tornado,1,56.383236,10.341481,100,100.150.140
1,Denmark,Aarhus,F-35,1,55.864138,10.676651,100,100.50.40;2,Denmark,Aarhus,tornado,1,56.383236,10.341481,100,100.150.140
1,Denmark,Aarhus,F-35,1,55.830987,10.573654,100,100.50.40;2,Denmark,Aarhus,tornado,1,56.383236,10.341481,100,100.150.140
1,Denmark,Aarhus,F-35,1,55.805912,10.455551,100,100.50.40;2,Denmark,Aarhus,tornado,1,56.383236,10.341481,100,100.150.140
1,Denmark,Aarhus,F-35,1,55.803211,10.338135,100,100.50.40;2,Denmark,Aarhus,tornado,1,56.383236,10.341481,100,100.150.140
1,Denmark,Aarhus,F-35,1,55.822888,10.200119,100,100.50.40;2,Denmark,Aarhus,tornado,1,56.383236,10.341481,100,100.150.140
1,Denmark,Aarhus,F-35,1,55.857973,10.07103,100,100.50.40;2,Denmark,Aarhus,tornado,1,56.383236,10.341481,100,100.150.140
1,Denmark,Aarhus,F-35,1,55.844482,10.17952,100,100.50.40;2,Denmark,Aarhus,tornado,1,56.383236,10.341481,100,100.150.140
1,Denmark,Aarhus,F-35,1,55.890716,10.220032,100,100.50.40;2,Denmark,Aarhus,tornado,1,56.383236,10.341481,100,100.150.140
1,Denmark,Aarhus,F-35,1,55.945355,10.256424,100,100.50.40;2,Denmark,Aarhus,tornado,1,56.383236,10.341481,100,100.150.140
1,Denmark,Aarhus,F-35,1,56.001837,10.26123,105,100.50.40;2,Denmark,Aarhus,tornado,1,56.383236,10.341481,100,100.150.140
1,Denmark,Aarhus,F-35,1,56.059386,10.236511,110,100.50.40;2,Denmark,Aarhus,tornado,1,56.383236,10.341481,100,100.150.140
1,Denmark,Aarhus,F-35,1,56.115701,10.206985,100,100.50.40;2,Denmark,Aarhus,tornado,1,56.383236,10.341481,100,100.150.140
1,Denmark,Aarhus,F-35,1,56.171934,10.17746,101,100.50.40;2,Denmark,Aarhus,tornado,1,56.383236,10.341481,100,100.150.140
1,Denmark,Aarhus,F-35,1,56.219305,10.203552,100,100.50.40;2,Denmark,Aarhus,tornado,1,56.383236,10.341481,100,100.150.140
1,Denmark,Aarhus,F-35,1,56.242968,10.216599,100,100.50.40;2,Denmark,Aarhus,tornado,1,56.383236,10.341481,100,100.150.140
1,Denmark,Aarhus,F-35,1,56.266617,10.229645,100,100.50.40;2,Denmark,Aarhus,tornado,1,56.383236,10.341481,100,100.150.140
1,Denmark,Aarhus,F-35,1,56.290251,10.242691,100,100.50.40;2,Denmark,Aarhus,tornado,1,56.383236,10.341481,100,100.150.140
1,Denmark,Aarhus,F-35,1,56.313871,10.255737,100,100.50.40;2,Denmark,Aarhus,tornado,1,56.383236,10.341481,100,100.150.140
1,Denmark,Aarhus,F-35,1,56.337476,10.268784,100,100.50.40;2,Denmark,Aarhus,tornado,1,56.383236,10.341481,100,100.150.140
1,Denmark,Aarhus,F-35,1,56.361066,10.28183,100,100.50.40;2,Denmark,Aarhus,tornado,1,56.383236,10.341481,100,100.150.140
1,Denmark,Aarhus,F-35,1,56.384642,10.294876,100,100.50.40;2,Denmark,Aarhus,tornado,1,56.383236,10.341481,100,100.150.140
